,market_date,company_symbol,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment_dict,sentiment_lib_avg,is_volatile
0,2010-09-01,NBL,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,-1,-0.25,0
1,2010-09-01,AAPL,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,1,0.0,0
2,2010-09-01,MCO,0.3333333333333333,0.0,0.1111111111111111,0.2222222222222222,0.0,0.3333333333333333,0.1111111111111111,0.0,-1,-0.7579,0
3,2010-09-01,BAC,0.05,0.05,0.05,0.2,0.05,0.1,0.0,0.15,-1,-0.29063333333333335,0
4,2010-09-01,NDAQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
5,2010-09-01,C,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,1,0.0,0
6,2010-09-01,UAA,0.125,0.125,0.0,0.125,0.25,0.125,0.25,0.0,1,0.0,0
7,2010-09-01,BMY,0.0,0.25,0.0,0.125,0.125,0.0,0.0,0.125,1,0.0,0
8,2010-09-01,AIG,0.0,0.1,0.0,0.05,0.05,0.0,0.05,0.1,1,0.06745000000000001,0
9,2010-09-01,ETFC,0.13636363636363635,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.13636363636363635,1,0.011300000000000013,0
10,2010-09-01,GS,0.08,0.12,0.08,0.08,0.08,0.04,0.02,0.16,0,-0.14404,0
11,2010-09-02,DISCK,0.2857142857142857,0.0,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0,-0.4215,0
12,2010-09-02,AGN,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
13,2010-09-02,AAPL,0.13636363636363635,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.09090909090909091,1,0.26353333333333334,0
14,2010-09-02,GE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.1779,0
15,2010-09-02,MS,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0,0.0,0
16,2010-09-02,NDAQ,0.047619047619047616,0.23809523809523808,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.19047619047619047,0.19047619047619047,1,0.09720000000000001,0
17,2010-09-02,C,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,-1,-0.2732,0
18,2010-09-02,CINF,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.25,0,-0.34,0
19,2010-09-02,AIG,0.10714285714285714,0.14285714285714285,0.07142857142857142,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.14285714285714285,0.03571428571428571,-1,-0.21495,0
20,2010-09-02,ETFC,0.0,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182,0.2727272727272727,1,0.2202,1
21,2010-09-02,GS,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,1,0.5719,0
22,2010-09-02,STX,0.0,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.2857142857142857,0.5714285714285714,1,0.0,0
23,2010-09-02,EA,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,-1,0.0,0
24,2010-09-03,NBL,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.0,0.3333333333333333,1,-0.128,1
25,2010-09-03,NKE,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,1,0.0,1
26,2010-09-03,GE,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.0,1
27,2010-09-03,XOM,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,1,0.2263,0
28,2010-09-03,PG,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.058823529411764705,1,0.0,0
29,2010-09-03,TTWO,0.0,0.5,0.0,0.125,0.375,0.0,0.125,0.125,1,0.4404,1
30,2010-09-03,NDAQ,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.09090909090909091,0.045454545454545456,0.045454545454545456,0,-0.07433333333333335,1
31,2010-09-03,CSCO,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,1,0.4019,1
32,2010-09-03,CINF,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0,0.0,1
33,2010-09-03,AIG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,1,0.0,1
34,2010-09-03,PRU,0.0,0.5,0.0,0.0,0.375,0.0,0.125,0.25,1,0.5267,1
35,2010-09-03,IBM,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0,0.0,1
36,2010-09-03,ETFC,0.1346153846153846,0.11538461538461539,0.09615384615384616,0.15384615384615385,0.11538461538461539,0.057692307692307696,0.038461538461538464,0.17307692307692307,1,0.10957142857142856,1
37,2010-09-03,ABT,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.14285714285714285,-1,-0.3818,0
