word,weight
abandon,0.994750656167979
abandoned,0.9960629921259843
abandoning,0.9993438320209974
abandons,0.9934383202099738
abdication,0.9993438320209974
abnormal,0.9993438320209974
abolish,0.9986876640419947
abolishes,0.9993438320209974
abrupt,0.9967191601049868
abruptly,0.994750656167979
absence,0.994750656167979
absences,0.9980314960629921
abuse,0.9776902887139107
abused,0.9993438320209974
abuses,0.9940944881889764
abusing,0.9993438320209974
abusive,0.9980314960629921
accident,0.989501312335958
accidentally,0.9993438320209974
accidents,0.9986876640419947
accusation,0.9967191601049868
accusations,0.989501312335958
accuse,0.9934383202099738
accused,0.9560367454068242
accuses,0.9704724409448819
accusing,0.9980314960629921
acquiesces,0.9993438320209974
acquitted,0.9993438320209974
adversaries,0.9993438320209974
adversary,0.9967191601049868
adverse,0.9986876640419947
adversity,0.9993438320209974
aftermath,0.9960629921259843
against,0.7408136482939632
aggravates,0.9993438320209974
aggravating,0.9993438320209974
alienating,0.9986876640419947
allegation,0.9993438320209974
allegations,0.9927821522309711
allege,0.9973753280839895
alleged,0.9980314960629921
alleges,0.9980314960629921
alleging,0.9980314960629921
annoyances,0.9993438320209974
annoyed,0.9980314960629921
annoying,0.9967191601049868
annoys,0.9993438320209974
anticompetitive,0.9986876640419947
antitrust,0.9101049868766404
argue,0.9973753280839895
argument,0.989501312335958
arguments,0.9927821522309711
arrest,0.9888451443569554
arrested,0.9704724409448819
arrests,0.984251968503937
artificially,0.9993438320209974
assault,0.984251968503937
assertions,0.9993438320209974
bad,0.9297900262467191
bail,0.9901574803149606
bailout,0.9560367454068242
balk,0.9980314960629921
bankruptcies,0.9980314960629921
bankruptcy,0.9586614173228346
bans,0.9855643044619422
barred,0.9921259842519685
barrier,0.9967191601049868
barriers,0.9881889763779528
boycott,0.9868766404199475
boycotted,0.9993438320209974
boycotting,0.9993438320209974
boycotts,0.9980314960629921
breach,0.9540682414698163
breached,0.9980314960629921
breaches,0.9888451443569554
breaching,0.9993438320209974
break,0.952755905511811
breakdown,0.9980314960629921
breakdowns,0.9993438320209974
breaking,0.9625984251968503
breaks,0.9671916010498688
bribery,0.9835958005249343
bribes,0.9967191601049868
bribing,0.9993438320209974
bridge,0.9875328083989501
broken,0.9868766404199475
burden,0.9967191601049868
burdened,0.9993438320209974
burdens,0.9993438320209974
burned,0.9980314960629921
calamity,0.9993438320209974
cancel,0.9967191601049868
canceled,0.9868766404199475
canceling,0.9980314960629921
cancellation,0.9980314960629921
cancels,0.9914698162729659
careless,0.9993438320209974
carelessness,0.9993438320209974
catastrophe,0.9980314960629921
catastrophic,0.9993438320209974
caution,0.9908136482939632
cautionary,0.9954068241469817
cautions,0.9967191601049868
ceases,0.9993438320209974
censures,0.9980314960629921
challenge,0.9225721784776902
challenged,0.9881889763779528
challenges,0.9409448818897638
challenging,0.9862204724409449
circumvent,0.9993438320209974
claiming,0.9908136482939632
claims,0.9206036745406824
clawback,0.9980314960629921
closed,0.9835958005249343
closing,0.9822834645669292
closings,0.9986876640419947
closure,0.9980314960629921
coercion,0.9993438320209974
collapse,0.9862204724409449
collapsed,0.9986876640419947
collapses,0.9954068241469817
collapsing,0.9980314960629921
collision,0.9967191601049868
colluded,0.9993438320209974
colluding,0.9960629921259843
collusion,0.9921259842519685
complain,0.9973753280839895
complained,0.9993438320209974
complaining,0.9993438320209974
complains,0.994750656167979
complaint,0.9816272965879265
complaints,0.9816272965879265
complicate,0.9960629921259843
complicated,0.9862204724409449
complicates,0.9973753280839895
complications,0.9986876640419947
concealing,0.9993438320209974
concede,0.9973753280839895
conceded,0.9993438320209974
concedes,0.9967191601049868
concern,0.9783464566929134
concerned,0.9940944881889764
concerns,0.9488188976377953
condemn,0.9980314960629921
condemnation,0.9993438320209974
condemned,0.9986876640419947
condemns,0.9967191601049868
confess,0.9993438320209974
confesses,0.9986876640419947
confession,0.9986876640419947
confinement,0.9986876640419947
confiscated,0.9993438320209974
conflict,0.9809711286089239
conflicting,0.9986876640419947
conflicts,0.9927821522309711
confront,0.9940944881889764
confrontation,0.9986876640419947
confrontational,0.9986876640419947
confronted,0.9993438320209974
confronting,0.9986876640419947
confronts,0.9888451443569554
confused,0.9973753280839895
confuses,0.9973753280839895
confusing,0.9973753280839895
confusion,0.9803149606299213
conspiracies,0.9993438320209974
conspiracy,0.9914698162729659
contempt,0.9973753280839895
contend,0.9986876640419947
contends,0.9960629921259843
contention,0.9980314960629921
contentious,0.9973753280839895
contraction,0.9993438320209974
contradict,0.9993438320209974
contradictions,0.9980314960629921
contradictory,0.9980314960629921
contradicts,0.9986876640419947
contrary,0.9986876640419947
controversial,0.994750656167979
controversy,0.9940944881889764
convicted,0.9888451443569554
conviction,0.989501312335958
convictions,0.9993438320209974
corrected,0.9986876640419947
correcting,0.9986876640419947
correction,0.9986876640419947
corrupt,0.9980314960629921
corrupting,0.9993438320209974
corruption,0.9888451443569554
costly,0.9822834645669292
counterfeit,0.9967191601049868
counterfeiter,0.9993438320209974
crime,0.9750656167979003
crimes,0.9954068241469817
criminal,0.9881889763779528
criminals,0.9993438320209974
crises,0.994750656167979
crisis,0.8904199475065617
critical,0.9914698162729659
criticism,0.9691601049868767
criticize,0.9927821522309711
criticized,0.9921259842519685
criticizes,0.9855643044619422
criticizing,0.9986876640419947
crucial,0.9868766404199475
curtail,0.9960629921259843
curtails,0.9980314960629921
cut,0.8694225721784776
cutbacks,0.9940944881889764
cyberattack,0.994750656167979
cyberattacks,0.9954068241469817
cybercrime,0.9986876640419947
cybercriminals,0.9986876640419947
damage,0.9822834645669292
